Time [s],Dn,Dp,out_en
0.272471340,1,1,0
0.272471350,0,1,0
0.272471430,1,0,0
0.272471510,0,1,0
0.272471600,1,0,0
0.272471680,0,0,0
0.272471850,0,1,0
0.273469010,1,0,0
0.273469090,0,1,0
0.273469180,1,0,0
0.273469260,0,1,0
0.273469340,1,0,0
0.273469430,0,1,0
0.273469510,1,0,0
0.273469760,0,1,0
0.273469930,1,0,0
0.273470010,0,1,0
0.273470180,1,0,0
0.273470340,0,1,0
0.273470590,1,0,0
0.273470760,0,1,0
0.273471260,1,0,0
0.273471340,0,1,0
0.273471430,1,0,0
0.273471590,0,1,0
0.273471680,0,0,0
0.273471840,0,1,0
0.274469010,1,0,0
0.274469090,0,1,0
0.274469170,1,0,0
0.274469260,0,1,0
0.274469340,1,0,0
0.274469420,0,1,0
0.274469510,1,0,0
0.274469760,0,1,0
0.274469920,1,0,0
0.274470010,0,1,0
0.274470170,1,0,0
0.274470590,0,1,0
0.274470760,1,0,0
0.274471340,0,1,0
0.274471590,1,0,0
0.274471760,0,0,0
0.274471920,0,1,0
0.275469000,0,0,0
0.275469010,1,0,0
0.275469090,0,1,0
0.275469170,1,0,0
0.275469250,0,1,0
0.275469340,1,0,0
0.275469420,0,1,0
0.275469500,1,0,0
0.275469750,0,1,0
0.275469920,1,0,0
0.275470000,0,1,0
0.275470170,1,0,0
0.275470340,0,1,0
0.275470420,1,0,0
0.275470500,0,1,0
0.275470750,1,0,0
0.275471250,0,1,0
0.275471500,1,0,0
0.275471670,0,0,0
0.275471840,0,1,0
0.275473090,1,0,0
0.275473170,0,1,0
0.275473250,1,0,0
0.275473340,0,1,0
0.275473420,1,0,0
0.275473500,0,1,0
0.275473590,1,0,0
0.275473840,0,1,0
0.275473920,1,0,0
0.275474090,0,1,0
0.275474340,1,0,0
0.275474420,0,1,0
0.275474590,1,0,0
0.275474670,0,1,0
0.275474750,1,0,0
0.275474840,0,1,0
0.275474920,1,0,0
0.275475000,0,1,0
0.275475170,1,0,0
0.275475250,0,1,0
0.275475340,1,0,0
0.275475420,0,1,0
0.275475500,1,0,0
0.275475590,0,1,0
0.275475750,0,0,0
0.275475920,0,1,0
0.276469000,1,0,0
0.276469080,0,1,0
0.276469170,1,0,0
0.276469250,0,1,0
0.276469330,1,0,0
0.276469420,0,1,0
0.276469500,1,0,0
0.276469750,0,1,0
0.276469920,1,0,0
0.276470000,0,1,0
0.276470170,1,0,0
0.276470420,0,1,0
0.276470500,1,0,0
0.276470750,0,1,0
0.276471340,1,0,0
0.276471420,0,1,0
0.276471500,1,0,0
0.276471670,0,1,0
0.276471750,0,0,0
0.276471920,0,1,0
0.277469000,1,0,0
0.277469080,0,1,0
0.277469170,1,0,0
0.277469250,0,1,0
0.277469330,1,0,0
0.277469410,0,1,0
0.277469500,1,0,0
0.277469750,0,1,0
0.277469920,1,0,0
0.277470000,0,1,0
0.277470170,1,0,0
0.277470330,0,1,0
0.277470500,1,0,0
0.277470750,0,1,0
0.277471330,1,0,0
0.277471410,0,1,0
0.277471500,1,0,0
0.277471580,0,1,0
0.277471670,1,0,0
0.277471750,0,0,0
0.277471910,0,1,0
0.278469000,1,0,0
0.278469080,0,1,0
0.278469160,1,0,0
0.278469240,0,1,0
0.278469330,1,0,0
0.278469410,0,1,0
0.278469500,1,0,0
0.278469750,0,1,0
0.278469910,1,0,0
0.278469990,0,1,0
0.278470160,1,0,0
0.278470500,0,1,0
0.278470750,1,0,0
0.278471250,0,1,0
0.278471660,0,0,0
0.278471830,0,1,0
0.279468990,1,0,0
0.279469070,0,0,0
0.279469080,0,1,0
0.279469160,1,0,0
0.279469240,0,1,0
0.279469330,1,0,0
0.279469410,0,1,0
0.279469490,1,0,0
